time,equity,withdrawn
2025-01-21 06:45:00,915.3862764546353,0
2025-01-21 13:45:00,831.4712874807,0
2025-01-21 17:25:00,749.3012966373731,0
2025-01-21 18:35:00,667.6385733003725,0
2025-01-21 19:55:00,584.3148271473797,0
2025-01-21 21:05:00,497.3842541104735,0
2025-01-21 23:50:00,680.0180853714237,0
2025-01-22 11:55:00,595.904928864301,0
2025-01-22 13:00:00,791.8838635345899,0
2025-01-22 14:15:00,705.6189635173089,0
2025-01-22 15:15:00,901.6045237750723,0
2025-01-22 16:25:00,819.9758063487684,0
2025-01-22 18:15:00,1017.7838531196294,0
2025-01-22 19:40:00,1211.6310886039614,0
2025-02-13 18:40:00,1129.4137589489405,0
2025-02-13 19:40:00,1045.0645569156218,0
2025-04-01 08:15:00,960.8131357661264,0
2025-04-01 13:35:00,1159.5182395776815,0
2025-04-01 16:55:00,1359.6565793143982,0
2025-05-09 17:10:00,1282.575059593558,0
2025-05-09 18:45:00,1205.4761440391176,0
2025-05-09 19:45:00,1407.518360609024,0
2025-05-09 20:45:00,1607.6883513633297,0
2025-07-09 05:55:00,1528.527198961609,0
2025-07-09 09:10:00,1726.6021904179333,0
2025-07-09 15:00:00,1923.006806923178,0
